permutation with time shift,react,from,to,corresponds to transition
"(2,1);(1,0)",mov,78,151,622
"(1,0);(2,1)",mov,78,131,623
"(2,0);(1,1)",mov,78,110,624
"(1,0);(2,1)",mov,78,109,625
"(1,0);(2,1)",stay,78,78,626
"(1,1);(2,0)",stay,78,78,627
"(2,0);(1,1)",mov,78,79,628
"(2,1);(1,0)",mov,78,49,629
"(2,0);(1,1)",mov,79,149,630
"(2,1);(1,0)",mov,79,154,631
"(2,0);(1,1)",mov,79,113,632
"(1,0);(2,1)",mov,79,110,633
"(1,0);(2,1)",stay,79,79,634
"(1,1);(2,0)",stay,79,79,635
"(2,1);(1,0)",mov,79,78,636
"(1,1);(2,0)",mov,79,75,637
"(1,1);(2,0)",mov,79,48,638
"(1,2);(2,0)",get2,80,166,639
"(1,2);(2,0)",get2,80,166,640
"(2,1);(1,0)",mov,80,131,641
"(2,1);(1,0)",mov,80,132,642
"(1,0);(2,1)",mov,80,124,643
"(1,1);(2,0)",mov,80,33,644
"(1,1);(2,0)",mov,80,77,645
"(1,1);(2,0)",mov,80,75,646
"(1,1);(2,0)",stay,80,80,647
"(1,0);(2,1)",stay,80,80,648
"(1,0);(2,1)",mov,81,165,649
"(1,1);(2,0)",mov,81,134,650
"(1,1);(2,0)",mov,81,133,651
"(1,1);(2,0)",mov,81,124,652
"(1,0);(2,1)",mov,81,33,653
"(2,1);(1,0)",mov,81,74,654
"(2,1);(1,0)",mov,81,78,655
"(1,0);(2,1)",stay,81,81,656
"(1,1);(2,0)",stay,81,81,657
"(1,1);(2,0)",mov,81,36,658
"(1,1);(2,0)",mov,72,122,659
"(1,0);(2,1)",mov,72,120,660
